Ziehungstag;Zahl1;Zahl2;Zahl3;Zahl4;Zahl5;Stern1;Stern2;Rang;Zahlen;Sterne;Europa;Österreich;Quoten;
;;;;;;;;4;4;2;          37;           2;       1.183,70;
;;;;;;;;5;4;1;         645;          43;         125,00;
;;;;;;;;6;3;2;       1.083;          79;          78,70;
;;;;;;;;7;4;0;       1.682;          68;          35,60;
;;;;;;;;8;2;2;      16.568;       1.016;          18,00;
;;;;;;;;9;3;1;      29.365;       1.644;          11,30;
;;;;;;;;10;3;0;      79.242;       3.819;           7,80;
;;;;;;;;11;1;2;      84.684;       5.311;           8,90;
;;;;;;;;12;2;1;     402.950;      22.585;           5,80;
;;;;;;;;13;2;0;   1.089.552;      53.490;           3,50;
Fr. 21.04.2023;7;8;18;33;42;2;8;1;5;2;JP;JP; 101.652.719,20;
;;;;;;;;2;5;1;           3;           0;     318.105,80;
;;;;;;;;3;5;0;          13;           1;      17.156,90;
;;;;;;;;4;4;2;          75;           4;         926,20;
;;;;;;;;5;4;1;       1.279;          66;         100,00;
;;;;;;;;6;3;2;       3.538;         167;          38,20;
;;;;;;;;7;4;0;       2.747;         125;          34,60;
;;;;;;;;8;2;2;      47.595;       2.003;           9,90;
;;;;;;;;9;3;1;      54.053;       2.407;           9,80;
;;;;;;;;10;3;0;     113.805;       5.145;           8,60;
;;;;;;;;11;1;2;     234.770;       9.448;           5,00;
;;;;;;;;12;2;1;     745.626;      31.879;           5,00;
;;;;;;;;13;2;0;   1.600.549;      69.263;           3,70;
Di. 25.04.2023;10;29;30;40;45;1;12;1;5;2;JP;JP; 113.203.135,00;
;;;;;;;;2;5;1;           1;           0;     717.775,80;
;;;;;;;;3;5;0;           5;           0;      33.551,20;
;;;;;;;;4;4;2;          40;           3;       1.306,20;
;;;;;;;;5;4;1;         648;          38;         148,50;
;;;;;;;;6;3;2;       1.717;         106;          59,20;
;;;;;;;;7;4;0;       1.695;         101;          42,10;
;;;;;;;;8;2;2;      19.750;       1.122;          18,10;
;;;;;;;;9;3;1;      31.233;       1.828;          12,70;
;;;;;;;;10;3;0;      79.582;       4.164;           9,30;
;;;;;;;;11;1;2;     108.657;       6.169;           8,20;
;;;;;;;;12;2;1;     418.973;      24.320;           6,70;
;;;;;;;;13;2;0;   1.119.406;      57.640;           4,00;
Fr. 28.04.2023;11;13;16;23;34;1;10;1;5;2;JP;JP; 129.017.021,70;
;;;;;;;;2;5;1;           1;           0;     982.720,10;
;;;;;;;;3;5;0;          14;           0;      16.405,50;
;;;;;;;;4;4;2;          49;           4;       1.459,90;
;;;;;;;;5;4;1;       1.194;          49;         110,30;
;;;;;;;;6;3;2;       2.040;         133;          68,20;
;;;;;;;;7;4;0;       3.272;         116;          29,90;
;;;;;;;;8;2;2;      29.204;       1.492;          16,70;
;;;;;;;;9;3;1;      51.296;       2.286;          10,60;
;;;;;;;;10;3;0;     140.130;       5.778;           7,20;
;;;;;;;;11;1;2;     147.338;       7.712;           8,30;
;;;;;;;;12;2;1;     697.582;      32.756;           5,50;
;;;;;;;;13;2;0;   1.866.740;      79.156;           3,30;
Di. 02.05.2023;7;32;44;47;48;7;8;1;5;2;JP;JP; 141.358.073,30;
;;;;;;;;2;5;1;           2;           0;     383.454,10;
;;;;;;;;3;5;0;           6;           1;      29.873,10;
;;;;;;;;4;4;2;          27;           0;       2.067,70;
;;;;;;;;5;4;1;         759;          37;         135,40;
;;;;;;;;6;3;2;       1.705;          94;          63,70;
