;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010 Lotto - Beträge in EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Datum;;Reihenfolge;Zahlen;;;;;;;;;Anzahl    ;;Quote;;Anzahl ;;Quote;;Anzahl;;Quote;;Anzahl;;Quote;;;;;;
;;gezogen;26;30;22;27;7;6;ZZ;9;4er;7.034;à;42,20;3er + ZZ;11.614;à;11,50;3er;111.400;à;4,80;ZZ;321.030;à;1,20;;;;;;
Mi;20.01.;aufsteigend;3;22;24;29;30;35;ZZ;31;6er;3JP;;3.214.604,10;5er + ZZ;2;à;85.464,20;5er;118;à;1.580,20;4er + ZZ;297;à;188,30;;;;;;
;;gezogen;29;3;24;30;22;35;ZZ;31;4er;6.054;à;51,30;3er + ZZ;7.655;à;18,20;3er;103.960;à;5,40;ZZ;303.412;à;1,20;;;;;;
So;24.01.;aufsteigend;9;15;18;20;23;30;ZZ;19;6er;4JP;;4.842.856,70;5er + ZZ;3;à;74.628,20;5er;155;à;1.575,70;4er + ZZ;419;à;174,80;;;;;;
;;gezogen;30;23;15;20;9;18;ZZ;19;4er;8.957;à;45,40;3er + ZZ;11.568;à;15,80;3er;145.076;à;5,00;ZZ;440.413;à;1,20;;;;;;
Mi;27.01.;aufsteigend;9;13;15;26;36;42;ZZ;8;6er;5JP;;6.940.319,60;5er + ZZ;9;à;32.044,50;5er;238;à;1.321,90;4er + ZZ;531;à;177,70;;;;;;
;;gezogen;36;13;9;42;15;26;ZZ;8;4er;10.846;à;48,30;3er + ZZ;14.775;à;15,90;3er;180.373;à;5,20;ZZ;600.593;à;1,20;;;;;;
So;31.01.;aufsteigend;17;18;22;38;39;41;ZZ;34;6er;3;à;3.293.968,40;5er + ZZ;8;à;50.558,50;5er;346;à;1.275,20;4er + ZZ;819;à;161,60;;;;;;
;;gezogen;39;17;38;41;22;18;ZZ;34;4er;14.796;à;49,70;3er + ZZ;21.559;à;15,30;3er;245.040;à;5,40;ZZ;731.952;à;1,20;;;;;;
Mi;03.02.;aufsteigend;5;12;18;25;32;39;ZZ;24;6er;JP; ;818.539,00;5er + ZZ;3;à;37.516,30;5er;112;à;1.096,20;4er + ZZ;218;à;168,90;;;;;;
;;gezogen;18;5;32;25;39;12;ZZ;24;4er;4.317;à;47,40;3er + ZZ;5.633;à;16,30;3er;69.430;à;5,30;ZZ;206.708;à;1,20;;;;;;
So;07.02.;aufsteigend;3;18;33;34;35;41;ZZ;27;6er;2JP;à;2.068.602,40;5er + ZZ;6;à;28.647,20;5er;142;à;1.320,40;4er + ZZ;341;à;164,90;;;;;;
;;gezogen;35;33;34;3;18;41;ZZ;27;4er;5.982;à;52,20;3er + ZZ;9.164;à;15,30;3er;102.703;à;5,50;ZZ;352.717;à;1,20;;;;;;
Mi;10.02.;aufsteigend;2;4;8;10;33;35;ZZ;16;6er;3JP;à;3.348.332,60;5er + ZZ;2;à;87.981,40;5er;161;à;1.192,20;4er + ZZ;484;à;118,90;;;;;;
;;gezogen;2;35;10;4;8;33;ZZ;16;4er;7.533;à;42,40;3er + ZZ;11.040;à;13,00;3er;120.208;à;4,80;ZZ;325.223;à;1,20;;;;;;
So ;14.02.;aufsteigend;8;10;11;29;33;42;ZZ;2;6er;1;à;5.103.956,30;5er + ZZ;7;à;34.485,40;5er;193;à;1.364,40;4er + ZZ;536;à;147,30;;;;;;
;;gezogen;10;33;42;29;8;11;ZZ;2;4er;10.037;à;43,70;3er + ZZ;14.680;à;13,40;3er;161.026;à;4,90;ZZ;450.186;à;1,20;;;;;;
Mi;17.02.;aufsteigend;4;6;14;28;31;35;ZZ;40;6er;JP; ;794.689,10;5er + ZZ;3;à;36.423,20;5er;85;à;1.402,30;4er + ZZ;239;à;149,60;;;;;;
;;gezogen;35;14;4;28;31;6;ZZ;40;4er;4.350;à;45,60;3er + ZZ;5.558;à;16,00;3er;70.359;à;5,10;ZZ;196.850;à;1,20;;;;;;
So;21.02.;aufsteigend;1;8;12;29;35;41;ZZ;2;6er;DJP;à;2.036.070,50;5er + ZZ;1;à;170.689,90;5er;128;à;1.454,70;4er + ZZ;318;à;175,60;;;;;;
;;gezogen;35;29;12;41;1;8;ZZ;2;4er;6.349;à;48,80;3er + ZZ;9.008;à;15,50;3er;107.148;à;5,20;ZZ;331.992;à;1,20;;;;;;
Mi;24.02.;aufsteigend;4;17;18;23;31;40;ZZ;20;6er;4;à;824.214,20;5er + ZZ;1;à;173.358,10;5er;138;à;1.370,40;4er + ZZ;367;à;154,50;;;;;;
;;gezogen;17;4;31;40;23;18;ZZ;20;4er;6.578;à;47,90;3er + ZZ;8.508;à;16,60;3er;104.773;à;5,40;ZZ;325.432;à;1,20;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016 Lotto - Beträge in EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Datum;;Reihenfolge;Zahlen;;;;;;;;;Anzahl    ;;Quote;;Anzahl ;;Quote;;Anzahl;;Quote;;Anzahl;;Quote;;;;;;
So;28.02.;aufsteigend;9;14;29;35;37;43;ZZ;21;6er;1;à;1.000.000,00;5er + ZZ;3;à;42.314,50;5er;93;à;1.489,00;4er + ZZ;261;à;159,00;;;;;;
;;gezogen;29;14;37;43;35;9;ZZ;21;4er;4.185;à;55,10;3er + ZZ;6.752;à;15,30;3er;71.453;à;5,80;ZZ;253.800;à;1,20;;;;;;
Mi;02.03.;aufsteigend;7;9;11;17;19;35;ZZ;30;6er;1;à;1.000.000,00;5er + ZZ;1;à;108.062,80;5er;160;à;736,70;4er + ZZ;273;à;129,50;;;;;;
;;gezogen;11;7;19;9;35;17;ZZ;30;4er;6.233;à;31,50;3er + ZZ;6.560;à;13,40;3er;86.805;à;4,00;ZZ;191.415;à;1,20;;;;;;
So;06.03.;aufsteigend;2;16;18;20;28;34;ZZ;42;6er;1;à;1.000.000,00;5er + ZZ;1;à;126.301,80;5er;127;à;1.084,90;4er + ZZ;285;à;145,00;;;;;;
;;gezogen;16;2;34;20;18;28;ZZ;42;4er;5.207;à;44,10;3er + ZZ;6.035;à;17,10;3er;82.221;à;5,00;ZZ;223.881;à;1,20;;;;;;
Mi;09.03.;aufsteigend;8;16;25;32;34;37;ZZ;21;6er;1;à;1.000.000,00;5er + ZZ;6;à;17.592,40;5er;95;à;1.212,10;4er + ZZ;245;à;141,00;;;;;;
;;gezogen;37;16;32;34;8;25;ZZ;21;4er;3.797;à;50,50;3er + ZZ;5.688;à;15,10;3er;60.823;à;5,70;ZZ;218.920;à;1,20;;;;;;
So;13.03.;aufsteigend;7;18;19;21;30;42;ZZ;34;6er;JP;;909.389,00;5er + ZZ;1;à;125.040,90;5er;115;à;1.186,10;4er + ZZ;241;à;169,80;;;;;;
;;gezogen;19;21;30;7;18;42;ZZ;34;4er;5.025;à;45,20;3er + ZZ;6.229;à;16,40;3er;82.965;à;4,90;ZZ;222.894;à;1,20;;;;;;
Mi;16.03.;aufsteigend;7;9;12;27;30;43;ZZ;35;6er;2JP;;1.910.637,10;5er + ZZ;1;à;137.671,60;5er;134;à;1.120,80;4er + ZZ;272;à;165,60;;;;;;
;;gezogen;7;9;30;43;27;12;ZZ;35;4er;6.652;à;37,60;3er + ZZ;7.112;à;15,80;3er;101.202;à;4,40;ZZ;240.969;à;1,20;;;;;;
So;20.03.;aufsteigend;9;30;32;35;37;41;ZZ;8;6er;1;à;3.212.442,00;5er + ZZ;2;à;89.499,00;5er;121;à;1.613,80;4er + ZZ;310;à;188,90;;;;;;
;;gezogen;37;32;30;9;41;35;ZZ;8;4er;6.183;à;52,60;3er + ZZ;8.508;à;17,20;3er;103.620;à;5,60;ZZ;395.260;à;1,20;;;;;;
Mi;23.03.;aufsteigend;7;12;36;37;38;45;ZZ;43;6er;JP;;744.482,40;5er + ZZ;JP;;102.366,30;5er;65;à;1.718,00;4er + ZZ;191;à;175,40;;;;;;
;;gezogen;37;45;36;12;38;7;ZZ;43;4er;3.424;à;54,30;3er + ZZ;4.883;à;17,10;3er;58.274;à;5,70;ZZ;181.124;à;1,20;;;;;;
So;27.03.;aufsteigend;2;16;23;32;38;41;ZZ;3;6er;2JP; ;1.931.739,50;5er + ZZ;2;à;132.807,00;5er;129;à;1.380,50;4er + ZZ;310;à;172,30;;;;;;
;;gezogen;16;38;2;23;32;41;ZZ;3;4er;6.183;à;48,00;3er + ZZ;8.294;à;16,10;3er;97.152;à;5,50;ZZ;372.659;à;1,20;;;;;;
Mi;30.03.;aufsteigend;6;14;21;33;36;39;ZZ;19;6er;1;à;3.000.048,60;5er + ZZ;2;à;73.446,20;5er;132;à;1.213,90;4er + ZZ;307;à;156,50;;;;;;
;;gezogen;14;6;39;36;33;21;ZZ;19;4er;5.925;à;45,00;3er + ZZ;7.485;à;16,00;3er;94.484;à;5,10;ZZ;291.766;à;1,20;;;;;;
So;03.04.;aufsteigend;4;10;15;31;33;41;ZZ;21;6er;1;à;1.000.000,00;5er + ZZ;2;à;61.281,90;5er;92;à;1.453,30;4er + ZZ;284;à;141,20;;;;;;
;;gezogen;10;41;15;31;4;33;ZZ;21;4er;4.758;à;46,80;3er + ZZ;7.001;à;14,30;3er;77.050;à;5,20;ZZ;240.326;à;1,20;;;;;;
Mi;06.04.;aufsteigend;4;22;23;26;32;38;ZZ;35;6er;1;à;1.000.000,00;5er + ZZ;2;à;50.967,90;5er;59;à;1.884,70;4er + ZZ;209;à;159,60;;;;;;
;;gezogen;22;23;26;32;4;38;ZZ;35;4er;3.523;à;52,60;3er + ZZ;5.451;à;15,30;3er;61.838;à;5,40;ZZ;176.120;à;1,20;;;;;;
So;10.04.;aufsteigend;5;20;23;32;38;45;ZZ;9;6er;JP;;885.490,90;5er + ZZ;7;à;17.393,50;5er;97;à;1.369,30;4er + ZZ;299;à;133,20;;;;;;
;;gezogen;20;23;45;5;38;32;ZZ;9;4er;4.407;à;50,20;3er + ZZ;7.213;à;13,80;3er;72.932;à;5,40;ZZ;268.068;à;1,20;;;;;;
Mi;13.04.;aufsteigend;5;15;23;28;37;45;ZZ;11;6er;2JP;;1.873.167,10;5er + ZZ;JP;;135.805,40;5er;125;à;1.185,20;4er + ZZ;268;à;165,80;;;;;;
;;gezogen;28;45;37;5;15;23;ZZ;11;4er;5.555;à;44,40;3er + ZZ;7.750;à;14,30;3er;85.077;à;5,20;ZZ;286.387;à;1,20;;;;;;
So;17.04.;aufsteigend;15;24;27;32;41;42;ZZ;26;6er;3JP;;3.200.385,70;5er + ZZ;7;à;45.471,10;5er;143;à;1.392,10;4er + ZZ;352;à;169,60;;;;;;
;;gezogen;24;41;42;15;32;27;ZZ;26;4er;6.922;à;47,90;3er + ZZ;8.481;à;17,60;3er;110.275;à;5,40;ZZ;374.738;à;1,20;;;;;;
Mi;20.04.;aufsteigend;3;17;22;26;32;33;ZZ;35;6er;1;à;4.660.304,30;5er + ZZ;2;à;100.369,40;5er;186;à;1.177,30;4er + ZZ;524;à;125,30;;;;;;
;;gezogen;17;26;3;22;32;33;ZZ;35;4er;8.443;à;43,20;3er + ZZ;12.653;à;12,90;3er;139.606;à;4,70;ZZ;350.327;à;1,20;;;;;;
So;24.04.;aufsteigend;19;22;24;27;30;33;ZZ;28;6er;3;à;333.333,30;5er + ZZ;2;à;60.627,40;5er;101;à;1.309,60;4er + ZZ;221;à;179,50;;;;;;
;;gezogen;24;19;27;33;30;22;ZZ;28;4er;4.406;à;50,00;3er + ZZ;5.690;à;17,40;3er;76.715;à;5,20;ZZ;246.703;à;1,20;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016 Lotto - Beträge in EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Datum;;Reihenfolge;Zahlen;;;;;;;;;Anzahl    ;;Quote;;Anzahl ;;Quote;;Anzahl;;Quote;;Anzahl;;Quote;;;;;;
Mi;27.04.;aufsteigend;4;26;32;33;38;45;ZZ;13;6er;JP;;731.966,50;5er + ZZ;JP;;100.645,30;5er;85;à;1.291,70;4er + ZZ;181;à;181,90;;;;;;
;;gezogen;4;38;33;32;45;26;ZZ;13;4er;3.481;à;52,50;3er + ZZ;4.957;à;16,60;3er;58.894;à;5,60;ZZ;202.287;à;1,20;;;;;;
So;01.05.;aufsteigend;1;14;25;27;28;35;ZZ;42;6er;1;;1.919.833,10;5er + ZZ;4;à;65.994,20;5er;125;à;1.425,40;4er + ZZ;376;à;142,10;;;;;;
;;gezogen;1;27;28;35;14;25;ZZ;42;4er;5.835;à;50,80;3er + ZZ;9.226;à;14,40;3er;101.092;à;5,30;ZZ;292.330;à;1,20;;;;;;
Mi;04.05.;aufsteigend;11;12;17;30;35;40;ZZ;16;6er;JP;;775.255,90;5er + ZZ;2;à;53.298,80;5er;72;à;1.615,10;4er + ZZ;186;à;187,50;;;;;;
;;gezogen;30;11;40;17;12;35;ZZ;16;4er;3.817;à;50,70;3er + ZZ;5.146;à;16,90;3er;66.253;à;5,20;ZZ;206.403;à;1,20;;;;;;
So;08.05.;aufsteigend;6;17;25;29;34;43;ZZ;12;6er;1;à;1.836.714,40;5er + ZZ;2;à;72.975,20;5er;126;à;1.263,60;4er + ZZ;335;à;142,50;;;;;;
;;gezogen;29;43;25;17;6;34;ZZ;12;4er;5.775;à;45,90;3er + ZZ;7.692;à;15,50;3er;90.929;à;5,20;ZZ;292.617;à;1,20;;;;;;
Mi;11.05.;aufsteigend;19;27;30;37;41;45;ZZ;7;6er;JP; ;730.421,20;5er + ZZ;1;à;100.432,90;5er;68;à;1.611,20;4er + ZZ;227;à;144,70;;;;;;
;;gezogen;27;41;45;37;30;19;ZZ;7;4er;3.452;à;52,80;3er + ZZ;5.716;à;14,30;3er;57.432;à;5,70;ZZ;226.151;à;1,20;;;;;;
So;15.05.;aufsteigend;2;7;8;30;34;37;ZZ;12;6er;DJP;;1.898.665,80;5er + ZZ;2;à;80.316,80;5er;107;à;1.637,70;4er + ZZ;332;à;158,30;;;;;;
;;gezogen;2;34;8;7;30;37;ZZ;12;4er;5.593;à;52,20;3er + ZZ;8.900;à;14,70;3er;97.935;à;5,30;ZZ;309.856;á;1,20;;;;;;
Mi;18.05.;aufsteigend;3;5;7;16;29;31;ZZ;28;6er;1;à;2.973.808,10;5er + ZZ;5;à;29.566,40;5er;188;à;857,80;4er + ZZ;434;à;111,40;;;;;;
;;gezogen;31;16;3;5;29;7;ZZ;28;4er;7.417;à;36,20;3er + ZZ;9.551;à;12,60;3er;108.862;à;4,40;ZZ;281.751;à;1,20;;;;;;
So;22.05.;aufsteigend;6;8;12;30;34;45;ZZ;2;6er;JP;;851.595,90;5er + ZZ;2;à;58.547,20;5er;94;à;1.358,90;4er + ZZ;294;à;130,30;;;;;;
;;gezogen;12;34;6;45;8;30;ZZ;2;4er;4.860;à;43,80;3er + ZZ;7.683;à;12,40;3er;77.697;à;4,90;ZZ;220.420;à;1,20;;;;;;
Mi;25.05.;aufsteigend;7;17;21;30;34;45;ZZ;18;6er;2JP;;1.866.000,30;5er + ZZ;4;à;34.870,10;5er;146;à;1.042,10;4er + ZZ;308;à;148,20;;;;;;
;;gezogen;17;34;21;45;7;30;ZZ;18;4er;6.281;à;40,30;3er + ZZ;6.998;à;16,30;3er;94.638;à;4,80;ZZ;259.997;à;1,20;;;;;;
So;29.05.;aufsteigend;4;5;7;10;17;24;ZZ;31;6er;2;à;1.505.197,40;5er + ZZ;9;à;17.483,80;5er;197;à;871,30;4er + ZZ;448;à;114,90;;;;;;
;;gezogen;17;5;10;4;7;24;ZZ;31;4er;9.008;à;31,70;3er + ZZ;9.840;à;13,00;3er;123.750;à;4,10;ZZ;263.193;à;1,20;;;;;;
Mi;01.06.;aufsteigend;3;6;10;18;28;30;ZZ;44;6er;2;à;500.000,00;5er + ZZ;5;à;20.309,50;5er;140;à;791,20;4er + ZZ;216;à;153,80;;;;;;
;;gezogen;10;18;30;6;28;3;ZZ;44;4er;5.736;à;32,10;3er + ZZ;5.339;à;15,50;3er;79.828;à;4,10;ZZ;183.494;à;1,20;;;;;;
So;05.06.;aufsteigend;3;4;5;9;27;28;ZZ;18;6er;2;à;500.000,00;5er + ZZ;3;à;39.235,10;5er;195;à;658,40;4er + ZZ;384;à;100,30;;;;;;
 ;;gezogen;28;9;4;5;27;3;ZZ;18;4er;7.057;à;30,30;3er + ZZ;8.661;à;11,10;3er;98.868;à;3,90;ZZ;193.246;à;1,20;;;;;;
Mi;08.06.;aufsteigend;10;21;25;28;37;44;ZZ;22;6er;1;à;1.000.000,00;5er + ZZ;1;à;97.758,00;5er;58;à;1.838,70;4er + ZZ;161;à;198,70;;;;;;
;;gezogen;37;10;21;44;28;25;ZZ;22;4er;3.354;à;52,90;3er + ZZ;4.194;à;19,00;3er;56.984;à;5,60;ZZ;198.007;à;1,20;;;;;;
So;12.06.;aufsteigend;12;18;19;20;23;45;ZZ;17;6er;JP;;855.938,00;5er + ZZ;4;à;29.422,80;5er;99;à;1.296,80;4er + ZZ;213;à;180,80;;;;;;
;;gezogen;18;19;45;23;20;12;ZZ;17;4er;4.353;à;49,10;3er + ZZ;5.691;à;16,90;3er;73.183;à;5,20;ZZ;250.654;à;1,20;;;;;;
Mi;15.06.;aufsteigend;2;16;17;23;26;37;ZZ;12;6er;2JP;;1.784.119,10;5er + ZZ;2;à;63.812,40;5er;87;à;1.600,30;4er + ZZ;272;à;153,50;;;;;;
;;gezogen;16;2;26;23;17;37;ZZ;12;4er;4.864;à;47,70;3er + ZZ;6.820;à;15,30;3er;80.731;à;5,20;ZZ;258.350;à;1,20;;;;;;
So;19.06.;aufsteigend;1;11;19;31;32;37;ZZ;42;6er;3JP;;3.003.308,60;5er + ZZ;2;à;83.819,20;5er;108;à;1.693,30;4er + ZZ;300;à;182,80;;;;;;
;;gezogen;31;1;19;11;32;37;ZZ;42;4er;5.671;à;53,70;3er + ZZ;7.631;à;17,90;3er;99.280;à;5,50;ZZ;305.575;à;1,20;;;;;;
Mi;22.06.;aufsteigend;10;25;26;32;35;45;ZZ;5;6er;4JP;;4.360.902,90;5er + ZZ;3;à;62.223,00;5er;126;à;1.616,10;4er + ZZ;478;à;127,80;;;;;;
;;gezogen;25;32;45;26;10;35;ZZ;5;4er;6.607;à;51,30;3er + ZZ;11.053;à;13,80;3er;111.559;à;5,50;ZZ;394.931;à;1,20;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016 Lotto - Beträge in EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Datum;;Reihenfolge;Zahlen;;;;;;;;;Anzahl    ;;Quote;;Anzahl ;;Quote;;Anzahl;;Quote;;Anzahl;;Quote;;;;;;
So;26.06.;aufsteigend;6;17;23;27;33;43;ZZ;19;6er;3;à;2.037.091,10;5er + ZZ;8;à;30.084,40;5er;262;à;1.002,10;4er + ZZ;603;à;130,60;;;;;;
;;gezogen;6;23;17;33;43;27;ZZ;19;4er;11.016;à;39,70;3er + ZZ;14.076;à;13,90;3er;165.617;à;4,70;ZZ;456.143;à;1,20;;;;;;
Mi;29.06.;aufsteigend;5;20;26;27;30;32;ZZ;45;6er;1;à;1.000.000,00;5er + ZZ;2;à;49.314,10;5er;59;à;1.823,60;4er + ZZ;152;à;212,30;;;;;;
;;gezogen;27;5;32;20;26;30;ZZ;45;4er;3.516;à;51,00;3er + ZZ;5.124;à;15,70;3er;63.556;à;5,10;ZZ;175.921;à;1,20;;;;;;
So;03.07.;aufsteigend;1;2;20;22;26;37;ZZ;43;6er;JP;;867.185,90;5er + ZZ;2;à;59.619,00;5er;79;à;1.646,50;4er + ZZ;192;à;203,20;;;;;;
;;gezogen;37;1;20;22;2;26;ZZ;43;4er;3.972;;54,50;3er + ZZ;5.205;à;18,70;3er;71.696;à;5,40;ZZ;215.285;à;1,20;;;;;;
Mi;06.07.;aufsteigend;1;4;15;16;26;27;ZZ;14;6er;2JP;;1.852.220,20;5er + ZZ;3;à;45.147,40;5er;123;à;1.201,20;4er + ZZ;306;à;144,80;;;;;;
;;gezogen;26;15;16;1;27;4;ZZ;14;4er;5.655;à;43,50;3er + ZZ;7.414;à;14,90;3er;93.721;à;4,70;ZZ;245.681;à;1,20;;;;;;
So;10.07.;aufsteigend;2;20;21;23;27;28;ZZ;32;6er;3JP;;3.115.750,10;5er + ZZ;5;à;34.747,00;5er;150;à;1.263,50;4er + ZZ;337;à;168,70;;;;;;
;;gezogen;21;28;23;27;20;2;ZZ;32;4er;6.816;à;46,30;3er + ZZ;8.841;à;16,00;3er;113.017;à;5,00;ZZ;301.885;à;1,20;;;;;;
Mi;13.07.;aufsteigend;10;20;22;26;36;42;ZZ;16;6er;4JP;;4.526.779,80;5er + ZZ;2;à;97.008,20;5er;154;à;1.374,30;4er + ZZ;437;à;145,30;;;;;;
;;gezogen;26;36;10;22;42;20;ZZ;16;4er;7.598;à;46,40;3er + ZZ;10.072;à;15,70;3er;121.316;à;5,20;ZZ;370.649;à;1,20;;;;;;
So;17.07.;aufsteigend;18;25;37;39;43;44;ZZ;16;6er;2;à;3.240.166,00;5er + ZZ;8;à;33.576,60;5er;209;à;1.402,00;4er + ZZ;496;à;177,20;;;;;;
;;gezogen;44;39;25;43;18;37;ZZ;16;4er;9.944;à;49,10;3er + ZZ;12.678;à;17,30;3er;155.889;à;5,60;ZZ;543.726;à;1,20;;;;;;
Mi;20.07.;aufsteigend;6;15;22;25;27;34;ZZ;24;6er;JP;;727.171,80;5er + ZZ;2;à;49.993,00;5er;81;à;1.346,60;4er + ZZ;180;à;181,70;;;;;;
;;gezogen;25;15;6;27;34;22;ZZ;24;4er;4.110;à;44,20;3er + ZZ;5.045;à;16,20;3er;63.911;à;5,10;ZZ;187.183;à;1,20;;;;;;
So;24.07.;aufsteigend;4;13;22;26;27;42;ZZ;45;6er;1;à;1.829.791,50;5er + ZZ;2;à;75.805,10;5er;120;à;1.378,20;4er + ZZ;308;à;161,00;;;;;;
;;gezogen;22;27;26;42;13;4;ZZ;45;4er;6.174;à;44,60;3er + ZZ;7.637;à;16,20;3er;100.363;à;4,90;ZZ;276.885;à;1,20;;;;;;
Mi;27.07.;aufsteigend;8;10;30;36;37;39;ZZ;41;6er;JP;;710.748,80;5er + ZZ;3;à;32.575,90;5er;94;à;1.134,10;4er + ZZ;171;à;187,00;;;;;;
;;gezogen;30;36;8;37;10;39;ZZ;41;4er;3.501;à;50,70;3er + ZZ;4.488;à;17,80;3er;58.463;à;5,50;ZZ;174.676;à;1,20;;;;;;
So;31.07.;aufsteigend;1;13;21;22;25;40;ZZ;9;6er;2;à;903.348,90;5er + ZZ;2;à;75.346,40;5er;119;à;1.381,40;4er + ZZ;350;à;140,90;;;;;;
;;gezogen;40;22;13;1;25;21;ZZ;9;4er;5.539;à;49,90;3er + ZZ;8.733;à;14,10;3er;91.728;à;5,40;ZZ;313.750;à;1,20;;;;;;
Mi;03.08.;aufsteigend;4;8;9;18;40;42;ZZ;11;6er;JP;;731.580,70;5er + ZZ;1;à;100.592,30;5er;82;à;1.338,20;4er + ZZ;248;à;132,70;;;;;;
;;gezogen;40;9;8;4;18;42;ZZ;11;4er;4.065;à;44,90;3er + ZZ;6.167;à;13,30;3er;65.601;à;5,00;ZZ;206.287;à;1,20;;;;;;
So;07.08.;aufsteigend;9;12;18;20;27;36;ZZ;45;6er;1;à;1.842.052,10;5er + ZZ;19;à;8.036,30;5er;152;à;1.095,80;4er + ZZ;761;à;65,60;;;;;;
;;gezogen;12;20;36;9;18;27;ZZ;45;4er;6.867;à;40,40;3er + ZZ;8.325;à;15,00;3er;103.886;à;4,80;ZZ;282.286;à;1,20;;;;;;
Mi;10.08.;aufsteigend;4;7;10;19;31;43;ZZ;44;6er;2;à;500.000,00;5er + ZZ;2;à;50.194,40;5er;140;à;782,20;4er + ZZ;196;à;167,60;;;;;;
;;gezogen;43;10;7;31;19;4;ZZ;44;4er;5.200;à;35,10;3er + ZZ;5.214;à;15,70;3er;74.784;à;4,40;ZZ;173.677;à;1,20;;;;;;
So;14.08.;aufsteigend;6;7;13;19;37;44;ZZ;40;6er;JP;;871.732,30;5er + ZZ;JP;;119.863,10;5er;128;à;1.021,50;4er + ZZ;220;à;178,30;;;;;;
;;gezogen;7;19;13;44;37;6;ZZ;40;4er;5.107;à;42,60;3er + ZZ;5.863;à;16,70;3er;80.211;à;4,90;ZZ;216.849;à;1,20;;;;;;
Mi;17.08.;aufsteigend;1;5;11;28;29;36;ZZ;18;6er;3;à;590.934,50;5er + ZZ;5;à;48.752,10;5er;89;à;1.518,60;4er + ZZ;270;à;150,10;;;;;;
;;gezogen;5;1;11;28;29;36;ZZ;18;4er;5.351;à;42,00;3er + ZZ;6.670;à;15,10;3er;85.556;à;4,70;ZZ;219.545;à;1,20;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016 Lotto - Beträge in EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Datum;;Reihenfolge;Zahlen;;;;;;;;;Anzahl    ;;Quote;;Anzahl ;;Quote;;Anzahl;;Quote;;Anzahl;;Quote;;;;;;
So;21.08.;aufsteigend;3;4;5;23;27;34;ZZ;32;6er;JP;;869.264,80;5er + ZZ;JP;;119.523,90;5er;108;à;1.207,30;4er + ZZ;216;à;181,00;;;;;;
;;gezogen;27;4;23;3;34;5;ZZ;32;4er;5.279;à;41,10;3er + ZZ;6.030;à;16,20;3er;87.980;à;4,40;ZZ;203.987;à;1,20;;;;;;
