Datum;Reihenfolge;Zahl1;Zahl2;Zahl3;Zahl4;Zahl5;Zahl6;ZZ;Zusatzzahl;Rang_1_5;Anzahl_1_5;a_1_5;Quote_1_5;Rang_2_6;Anzahl_2_6;a_2_6;Quote_2_6;Rang_3_7;Anzahl_3_7;a_3_7;Quote_3_7;Rang_4_8;Anzahl_4_8;a_4_8;Quote_4_8;
27.07.;;;;;;;;;;4er;           3.216;à;              55,50;3er + ZZ;           4.624;à;              17,30;3er;          56.294;à;               5,70;ZZ;         193.629;à;               1,20;
31.07.;aufsteigend;8;31;32;34;37;45;ZZ;30;6er;3JP;;       2.292.873,90;5er + ZZ;JP;;         124.205,10;5er;              81;à;           1.672,70;4er + ZZ;             224;à;             181,40;
31.07.;;;;;;;;;;4er;           4.229;à;              53,30;3er + ZZ;           5.876;à;              17,20;3er;          71.023;à;               5,70;ZZ;         240.512;à;               1,20;
03.08.;aufsteigend;24;25;30;36;44;45;ZZ;23;6er;4JP;;       3.233.003,60;5er + ZZ;DJP;;         253.473,00;5er;              93;à;           1.516,30;4er + ZZ;             223;à;             189,70;
03.08.;;;;;;;;;;4er;           4.314;à;              54,40;3er + ZZ;           5.631;à;              18,70;3er;          73.529;à;               5,70;ZZ;         268.138;à;               1,20;
07.08.;aufsteigend;1;16;30;31;37;42;ZZ;25;6er;               2;à;       2.214.992,70;5er + ZZ;               2;à;         209.029,00;5er;             117;à;           1.534,50;4er + ZZ;             321;à;             167,80;
07.08.;;;;;;;;;;4er;           5.668;à;              52,70;3er + ZZ;           7.794;à;              17,20;3er;          94.340;à;               5,70;ZZ;         305.744;à;               1,20;
10.08.;aufsteigend;7;17;19;22;33;40;ZZ;20;6er;               1;à;       1.000.000,00;5er + ZZ;               3;à;          27.668,30;5er;              71;à;           1.275,30;4er + ZZ;             187;à;             145,20;
10.08.;;;;;;;;;;4er;           3.750;à;              40,20;3er + ZZ;           4.522;à;              15,00;3er;          58.576;à;               4,60;ZZ;         150.281;à;               1,20;
12.08.;aufsteigend;5;24;28;37;38;43;ZZ;3;6er;JP;;         540.209,60;5er + ZZ;JP;;          74.278,80;5er;              45;à;           1.800,60;4er + ZZ;             138;à;             176,10;
12.08.;;;;;;;;;;4er;           2.457;à;              54,90;3er + ZZ;           3.950;à;              15,30;3er;          42.551;à;               5,70;ZZ;         167.547;à;               1,20;
