347,39,41,46,47,60
348,13,14,21,34,84
349,15,24,27,29,40
350,16,55,60,67,76
351,32,43,60,74,79
352,10,42,60,78,82
353,40,47,52,57,83
354,1,9,11,19,41
355,29,54,63,78,83
356,2,39,69,72,74
357,3,7,32,41,58
358,22,42,62,82,84
359,4,27,41,72,88
360,9,10,36,50,78
361,6,18,51,59,64
362,22,24,43,64,90
363,43,45,56,66,82
364,24,36,44,63,68
365,8,33,57,62,66
366,5,22,25,67,87
367,1,23,27,42,84
368,16,38,54,84,90
369,15,36,45,58,72
370,28,30,35,56,84
371,38,39,52,79,85
372,27,35,51,57,59
373,24,43,44,48,58
374,11,15,23,43,87
375,11,15,26,39,78
376,48,55,62,69,80
377,11,27,55,68,80
378,7,18,53,54,85
379,3,50,52,59,74
380,27,30,35,56,68
381,3,9,38,42,85
382,15,21,78,87,89
383,34,38,45,62,90
384,22,24,35,63,68
385,9,50,72,76,89
386,31,53,57,60,83
387,10,25,38,46,50
388,41,45,51,54,86
389,18,24,30,43,79
390,2,18,45,51,70
391,2,5,17,24,72
392,14,54,60,78,81
393,5,10,23,51,58
394,10,57,70,75,87
395,4,38,42,64,74
396,8,50,69,72,87
397,20,26,38,41,58
398,1,19,70,80,81
399,17,20,32,76,84
400,2,13,67,70,86
401,33,52,67,77,87
402,3,32,50,59,65
403,3,34,46,62,79
404,2,5,37,57,67
405,10,18,26,36,38
406,1,48,61,62,79
407,19,30,43,58,69
408,27,29,47,59,89
409,3,26,28,42,49
410,15,16,36,60,70
411,18,55,56,83,90
412,12,25,30,46,51
413,1,19,20,27,34
414,18,37,44,52,76
415,8,65,67,69,82
416,2,50,55,65,84
417,25,56,57,81,86
418,21,23,29,46,48
419,2,33,38,70,77
420,6,18,35,74,90
421,18,31,36,52,59
422,11,41,42,45,77
423,13,17,19,46,60
424,18,19,22,62,67
425,1,45,64,73,86
426,18,31,46,49,85
427,18,27,52,57,73
428,27,35,42,55,71
429,3,50,55,57,58
430,63,68,69,75,86
431,5,19,23,25,67
432,46,54,55,70,85
433,10,11,29,35,48
434,6,7,40,57,67
435,3,4,55,56,69
436,7,19,23,44,66
437,37,45,59,65,76
438,25,38,43,57,72
439,9,19,57,61,62
440,14,30,51,62,78
441,37,62,66,85,90
442,27,49,72,79,81
443,10,17,61,63,73
444,4,31,38,75,89
445,8,14,19,30,34
446,27,32,36,39,57
447,2,7,12,25,76
448,7,39,40,58,68
449,3,16,27,45,81
450,19,53,60,66,67
